season,game_id,shift_rows
20242025,2024020228,710
20242025,2024020235,763
20242025,2024020245,803
20242025,2024020247,729
20242025,2024020249,775
20242025,2024020253,801
20242025,2024020261,674
20242025,2024020264,794
20242025,2024020274,733
20242025,2024020287,695
20242025,2024020290,668
20242025,2024020415,756
20252026,2025020002,770
20252026,2025020004,785
20252026,2025020006,826
20252026,2025020009,823
20252026,2025020025,769
20252026,2025020029,788
20252026,2025020035,686
20252026,2025020038,714
20252026,2025020043,807
20252026,2025020049,803
20252026,2025020051,690
20252026,2025020116,767
20252026,2025020122,685
20252026,2025020123,801
20252026,2025020188,820
20252026,2025020192,729
20252026,2025020193,809
20252026,2025020199,781
20252026,2025020200,732
20252026,2025020206,730
20252026,2025020207,758
20252026,2025020213,801
20252026,2025020274,705
20252026,2025020289,713
20252026,2025020290,822
20252026,2025020291,761
20252026,2025020299,725
20252026,2025020413,805
20252026,2025020415,763
20252026,2025020418,704
20252026,2025020427,795
20252026,2025020431,754
20252026,2025020434,763
20252026,2025020441,762
20252026,2025020444,839
20252026,2025020450,691
20252026,2025020458,788
20252026,2025020461,725
20252026,2025020474,746
20252026,2025020476,686
20252026,2025020480,766
20252026,2025020491,714
20252026,2025020499,742
20252026,2025020500,769
20252026,2025020512,681
20252026,2025020515,772
20252026,2025020520,770
20252026,2025020523,721
20252026,2025020524,718
20252026,2025020534,757
20252026,2025020539,710
20252026,2025020541,827
