Connor McDavid Full RAPM Profile (All Metrics):
Season     | Metric                                   | Value    | Rank | Total | Percentile
20222023   | takeaway_to_xg_swing_rapm_5v5_w10        |   0.0344 |   59 |   563 |   89.7%
20222023   | turnover_to_xg_swing_rapm_5v5_w10        |   0.0010 |  279 |   563 |   50.6%
20222023   | xg_def_rapm_5v5                          |  -1.0485 |  525 |   563 |    6.9%
20222023   | xg_off_rapm_5v5                          |   1.8374 |    6 |   563 |   99.1%
20222023   | xg_pk_def_rapm                           |   1.7978 |   17 |   347 |   95.4%
20222023   | xg_pp_off_rapm                           |   2.6103 |   12 |   347 |   96.8%
20222023   | xg_primary_assist_on_goals_rapm_5v5      |  -0.0854 |  553 |   563 |    2.0%
20222023   | xg_rapm_5v5                              |   0.6565 |  119 |   563 |   79.0%
20222023   | xg_secondary_assist_on_goals_rapm_5v5    |  -0.0573 |  539 |   563 |    4.4%
20232024   | blocked_shot_to_xg_swing_rapm_5v5_w10    |   0.1716 |    1 |   508 |  100.0%
20232024   | corsi_def_rapm_5v5                       |   1.6834 |   64 |   508 |   87.6%
20232024   | corsi_off_rapm_5v5                       |   3.0276 |   26 |   508 |   95.1%
20232024   | corsi_pk_def_rapm                        |   4.7647 |   10 |   303 |   97.0%
20232024   | corsi_pp_off_rapm                        |   2.7033 |   25 |   303 |   92.1%
20232024   | corsi_rapm_5v5                           |   7.4513 |   54 |   909 |   94.2%
20232024   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |  -0.0040 |  300 |   508 |   41.1%
20232024   | finishing_residual_rapm_5v5              |  -0.3164 |  338 |   508 |   33.7%
20232024   | giveaway_to_xg_swing_rapm_5v5_w10        |   0.0032 |  193 |   508 |   62.2%
20232024   | goals_rapm_5v5                           |   0.0995 |   27 |   508 |   94.9%
20232024   | hd_xg_def_rapm_5v5_ge020                 |   0.1349 |   25 |   508 |   95.3%
20232024   | hd_xg_off_rapm_5v5_ge020                 |   0.3711 |    8 |   508 |   98.6%
20232024   | hd_xg_rapm_5v5_ge020                     |   0.5136 |    7 |   508 |   98.8%
20232024   | penalties_drawn_rapm_5v5                 |  -0.0008 |  430 |   508 |   15.6%
20232024   | penalties_taken_rapm_5v5                 |   0.0008 |   79 |   508 |   84.6%
20232024   | primary_assist_rapm_5v5                  |   0.0999 |   27 |   508 |   94.9%
20232024   | secondary_assist_rapm_5v5                |   0.0164 |  152 |   508 |   70.3%
20232024   | takeaway_to_xg_swing_rapm_5v5_w10        |   0.0086 |  154 |   508 |   69.9%
20232024   | turnover_to_xg_swing_rapm_5v5_w10        |   0.0118 |  162 |   508 |   68.3%
20232024   | xg_def_rapm_5v5                          |   0.1589 |   19 |   508 |   96.5%
20232024   | xg_off_rapm_5v5                          |   0.3815 |    8 |   508 |   98.6%
20232024   | xg_pk_def_rapm                           |   0.2320 |   11 |   303 |   96.7%
20232024   | xg_pp_off_rapm                           |   0.2071 |   11 |   303 |   96.7%
20232024   | xg_primary_assist_on_goals_rapm_5v5      |   0.0537 |   45 |   508 |   91.3%
20232024   | xg_rapm_5v5                              |   0.5481 |    6 |   508 |   99.0%
20232024   | xg_secondary_assist_on_goals_rapm_5v5    |   0.0091 |  155 |   508 |   69.7%
20242025   | blocked_shot_to_xg_swing_rapm_5v5_w10    |   0.0245 |  124 |   560 |   78.0%
20242025   | corsi_def_rapm_5v5                       |   3.2980 |   91 |   818 |   89.0%
20242025   | corsi_off_rapm_5v5                       |   5.9340 |   24 |   818 |   97.2%
20242025   | corsi_pk_def_rapm                        |   0.7679 |   60 |   294 |   79.9%
20242025   | corsi_pp_off_rapm                        |   3.1625 |   19 |   294 |   93.9%
20242025   | corsi_rapm_5v5                           |   7.8514 |   47 |   901 |   94.9%
20242025   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |   0.2095 |    6 |   560 |   99.1%
20242025   | finishing_residual_rapm_5v5              |  -2.9402 |  557 |   560 |    0.7%
20242025   | giveaway_to_xg_swing_rapm_5v5_w10        |   0.1116 |    8 |   560 |   98.8%
20242025   | goals_rapm_5v5                           |  -0.2771 |  436 |   560 |   22.3%
20242025   | hd_xg_def_rapm_5v5_ge020                 |   0.0164 |  294 |   560 |   47.7%
20242025   | hd_xg_off_rapm_5v5_ge020                 |   2.4504 |    2 |   560 |   99.8%
20242025   | hd_xg_rapm_5v5_ge020                     |   2.4541 |    4 |   560 |   99.5%
20242025   | penalties_drawn_rapm_5v5                 |   0.0300 |    2 |   560 |   99.8%
20242025   | penalties_taken_rapm_5v5                 |  -0.0300 |  559 |   560 |    0.4%
20242025   | primary_assist_rapm_5v5                  |  -0.1080 |  554 |   560 |    1.2%
20242025   | secondary_assist_rapm_5v5                |  -0.0389 |  490 |   560 |   12.7%
20242025   | takeaway_to_xg_swing_rapm_5v5_w10        |   0.0084 |  123 |   560 |   78.2%
20242025   | turnover_to_xg_swing_rapm_5v5_w10        |   0.1200 |   13 |   560 |   97.9%
20242025   | xg_def_rapm_5v5                          |   0.1716 |  165 |   818 |   80.0%
20242025   | xg_off_rapm_5v5                          |   1.1211 |    6 |   818 |   99.4%
20242025   | xg_pk_def_rapm                           |   0.0289 |   71 |   294 |   76.2%
20242025   | xg_pp_off_rapm                           |   0.1530 |   18 |   294 |   94.2%
20242025   | xg_primary_assist_on_goals_rapm_5v5      |  -0.0559 |  543 |   560 |    3.2%
20242025   | xg_rapm_5v5                              |   3.0484 |   21 |   812 |   97.5%
20242025   | xg_secondary_assist_on_goals_rapm_5v5    |  -0.0149 |  405 |   560 |   27.9%
20252026   | blocked_shot_to_xg_swing_rapm_5v5_w10    |   0.1678 |    3 |   550 |   99.6%
20252026   | corsi_def_rapm_5v5                       |   3.0913 |   21 |   550 |   96.4%
20252026   | corsi_off_rapm_5v5                       |   5.2496 |    5 |   550 |   99.3%
20252026   | corsi_pk_def_rapm                        |   2.5404 |   31 |   354 |   91.5%
20252026   | corsi_pp_off_rapm                        |   3.8773 |   18 |   354 |   95.2%
20252026   | corsi_rapm_5v5                           |   7.6648 |   29 |   824 |   96.6%
20252026   | faceoff_loss_to_xg_swing_rapm_5v5_w10    |   0.1019 |   16 |   550 |   97.3%
20252026   | finishing_residual_rapm_5v5              |   0.0046 |  172 |   550 |   68.9%
20252026   | giveaway_to_xg_swing_rapm_5v5_w10        |   0.0000 |    1 |   550 |   50.1%
20252026   | goals_rapm_5v5                           |   0.0046 |  172 |   550 |   68.9%
