Connor McDavid Full RAPM Profile (Position: C):
Season     | Metric                              | Value    | Rank(All) | Pct(All) | Rank(Pos) | Pct(Pos)
20212022   | xg_rapm_5v5                         |   0.2928 |   16/550  |   97.3% |    4/179  |   98.3%
20212022   | xg_secondary_assist_on_goals_rapm_5v5 |   0.0005 |  252/550  |   54.4% |   81/179  |   55.3%
20222023   | blocked_shot_to_xg_swing_rapm_5v5_w10 |   0.0318 |   87/563  |   84.7% |   22/173  |   87.9%
20222023   | corsi_def_rapm_5v5                  |  -1.8668 |  496/563  |   12.1% |  155/173  |   11.0%
20222023   | corsi_off_rapm_5v5                  |   4.2116 |    9/563  |   98.6% |    1/173  |  100.0%
20222023   | corsi_pk_def_rapm                   |   3.5706 |   18/347  |   95.1% |    7/117  |   94.9%
20222023   | corsi_pp_off_rapm                   |   1.9351 |   43/347  |   87.9% |   19/117  |   84.6%
20222023   | corsi_rapm_5v5                      |   5.6080 |   90/940  |   90.5% |   23/234  |   90.6%
20222023   | faceoff_loss_to_xg_swing_rapm_5v5_w10 |  -0.0518 |  522/563  |    7.5% |  160/173  |    8.1%
20222023   | finishing_residual_rapm_5v5         |  -0.9025 |  480/563  |   14.9% |  147/173  |   15.6%
20222023   | giveaway_to_xg_swing_rapm_5v5_w10   |  -0.0334 |  505/563  |   10.5% |  161/173  |    7.5%
20222023   | goals_rapm_5v5                      |  -0.0972 |  536/563  |    5.0% |  163/173  |    6.4%
20222023   | hd_xg_def_rapm_5v5_ge020            |  -1.0955 |  531/563  |    5.9% |  165/173  |    5.2%
20222023   | hd_xg_off_rapm_5v5_ge020            |   1.7157 |    6/563  |   99.1% |    3/173  |   98.8%
20222023   | hd_xg_rapm_5v5_ge020                |   0.4939 |  145/563  |   74.4% |   40/173  |   77.5%
20222023   | penalties_drawn_rapm_5v5            |   0.0237 |   12/563  |   98.0% |    4/173  |   98.3%
20222023   | penalties_taken_rapm_5v5            |  -0.0237 |  552/563  |    2.1% |  170/173  |    2.3%
20222023   | primary_assist_rapm_5v5             |  -0.1015 |  541/563  |    4.1% |  166/173  |    4.6%
20222023   | secondary_assist_rapm_5v5           |  -0.0470 |  509/563  |    9.8% |  156/173  |   10.4%
20222023   | takeaway_to_xg_swing_rapm_5v5_w10   |   0.0344 |   59/563  |   89.7% |   18/173  |   90.2%
20222023   | turnover_to_xg_swing_rapm_5v5_w10   |   0.0010 |  279/563  |   50.6% |   85/173  |   51.4%
20222023   | xg_def_rapm_5v5                     |  -1.0485 |  525/563  |    6.9% |  164/173  |    5.8%
20222023   | xg_off_rapm_5v5                     |   1.8374 |    6/563  |   99.1% |    3/173  |   98.8%
20222023   | xg_pk_def_rapm                      |   1.7978 |   17/347  |   95.4% |    7/117  |   94.9%
20222023   | xg_pp_off_rapm                      |   2.6103 |   12/347  |   96.8% |    5/117  |   96.6%
20222023   | xg_primary_assist_on_goals_rapm_5v5 |  -0.0854 |  553/563  |    2.0% |  170/173  |    2.3%
20222023   | xg_rapm_5v5                         |   0.6565 |  119/563  |   79.0% |   30/173  |   83.2%
20222023   | xg_secondary_assist_on_goals_rapm_5v5 |  -0.0573 |  539/563  |    4.4% |  166/173  |    4.6%
20232024   | blocked_shot_to_xg_swing_rapm_5v5_w10 |   0.1716 |    1/508  |  100.0% |    1/160  |  100.0%
20232024   | corsi_def_rapm_5v5                  |   1.6834 |   64/508  |   87.6% |   16/160  |   90.6%
20232024   | corsi_off_rapm_5v5                  |   3.0276 |   26/508  |   95.1% |    9/160  |   95.0%
20232024   | corsi_pk_def_rapm                   |   4.7647 |   10/303  |   97.0% |    5/106  |   96.2%
20232024   | corsi_pp_off_rapm                   |   2.7033 |   25/303  |   92.1% |   11/106  |   90.6%
20232024   | corsi_rapm_5v5                      |   7.4513 |   54/909  |   94.2% |   11/240  |   95.8%
20232024   | faceoff_loss_to_xg_swing_rapm_5v5_w10 |  -0.0040 |  300/508  |   41.1% |   87/160  |   46.2%
20232024   | finishing_residual_rapm_5v5         |  -0.3164 |  338/508  |   33.7% |  108/160  |   33.1%
20232024   | giveaway_to_xg_swing_rapm_5v5_w10   |   0.0032 |  193/508  |   62.2% |   61/160  |   62.5%
20232024   | goals_rapm_5v5                      |   0.0995 |   27/508  |   94.9% |    8/160  |   95.6%
20232024   | hd_xg_def_rapm_5v5_ge020            |   0.1349 |   25/508  |   95.3% |    5/160  |   97.5%
20232024   | hd_xg_off_rapm_5v5_ge020            |   0.3711 |    8/508  |   98.6% |    3/160  |   98.8%
20232024   | hd_xg_rapm_5v5_ge020                |   0.5136 |    7/508  |   98.8% |    2/160  |   99.4%
20232024   | penalties_drawn_rapm_5v5            |  -0.0008 |  430/508  |   15.6% |  136/160  |   15.6%
20232024   | penalties_taken_rapm_5v5            |   0.0008 |   79/508  |   84.6% |   25/160  |   85.0%
20232024   | primary_assist_rapm_5v5             |   0.0999 |   27/508  |   94.9% |    8/160  |   95.6%
20232024   | secondary_assist_rapm_5v5           |   0.0164 |  152/508  |   70.3% |   53/160  |   67.5%
20232024   | takeaway_to_xg_swing_rapm_5v5_w10   |   0.0086 |  154/508  |   69.9% |   49/160  |   70.0%
20232024   | turnover_to_xg_swing_rapm_5v5_w10   |   0.0118 |  162/508  |   68.3% |   57/160  |   65.0%
