season,player_id,blocked_shot_to_xg_swing_rapm_5v5_w10,corsi_def_rapm_5v5,corsi_off_rapm_5v5,corsi_pk_def_rapm,corsi_pp_off_rapm,corsi_rapm_5v5,faceoff_loss_to_xg_swing_rapm_5v5_w10,finishing_residual_rapm_5v5,giveaway_to_xg_swing_rapm_5v5_w10,goals_rapm_5v5,hd_xg_def_rapm_5v5_ge020,hd_xg_off_rapm_5v5_ge020,hd_xg_rapm_5v5_ge020,penalties_drawn_rapm_5v5,penalties_taken_rapm_5v5,primary_assist_rapm_5v5,secondary_assist_rapm_5v5,takeaway_to_xg_swing_rapm_5v5_w10,turnover_to_xg_swing_rapm_5v5_w10,xg_def_rapm_5v5,xg_off_rapm_5v5,xg_pk_def_rapm,xg_pp_off_rapm,xg_primary_assist_on_goals_rapm_5v5,xg_rapm_5v5,xg_secondary_assist_on_goals_rapm_5v5,full_name,position,position_group,corsi_off_rapm_5v5_z,xg_off_rapm_5v5_z,hd_xg_off_rapm_5v5_ge020_z,corsi_def_rapm_5v5_z,xg_def_rapm_5v5_z,hd_xg_def_rapm_5v5_ge020_z,turnover_to_xg_swing_rapm_5v5_w10_z,takeaway_to_xg_swing_rapm_5v5_w10_z,giveaway_to_xg_swing_rapm_5v5_w10_z,blocked_shot_to_xg_swing_rapm_5v5_w10_z,faceoff_loss_to_xg_swing_rapm_5v5_w10_z,corsi_pp_off_rapm_z,xg_pp_off_rapm_z,corsi_pk_def_rapm_z,xg_pk_def_rapm_z,penalties_taken_rapm_5v5_z,penalties_drawn_rapm_5v5_z,finishing_residual_rapm_5v5_z,goals_rapm_5v5_z,primary_assist_rapm_5v5_z,secondary_assist_rapm_5v5_z,OFFENSE_score,DEFENSE_score,TRANSITION_score,SPECIAL_TEAMS_score,DISCIPLINE_score,FINISHING_score,OFFENSE_percentile,DEFENSE_percentile,TRANSITION_percentile,SPECIAL_TEAMS_percentile,DISCIPLINE_percentile,FINISHING_percentile,OFFENSE_trend,DEFENSE_trend,TRANSITION_trend,SPECIAL_TEAMS_trend,DISCIPLINE_trend,FINISHING_trend,OFFENSE,DEFENSE,TRANSITION,SPECIAL_TEAMS,DISCIPLINE,FINISHING
20242025,8478440,0.0387109152782353,0.8088024357081322,0.1983649614516984,0.0,2.9486611395968527,0.7396691046850047,0.0674429390546708,-0.485327871071091,0.0673072598504863,0.0809104424711068,0.0340935391175345,0.6356777221763419,0.6555689200439749,-0.0004092625657036,0.0004092625657036,0.0081655354818208,0.0038941791143481,-0.0068853888856732,0.0604218709648132,0.0498059755856963,0.5360241999942862,0.0,0.1269765668899188,0.0041220354468534,0.5662383135421964,0.0008314568198218,Dylan Strome,C,F,0.13416149643758643,1.3875031103021436,1.5124479142481349,0.5932039767275891,0.12096401012822527,0.07376818691688761,1.3253777513161227,-0.23004961137456564,-1.9824966249135278,0.9142846192618868,1.6615898174796646,1.129576899789541,0.12326831842048594,-0.013784020353393522,-0.004775100987171307,-0.06121131358354512,-0.06121131358354512,-0.7036875112950206,0.452884710190008,0.14300315312773437,0.07686818941717295,1.0113708403292883,0.2626453912575673,0.33774119035391614,0.30857152421736556,-0.06121131358354512,-0.007732864640026326,90.82991803278688,71.56762295081968,84.375,78.83064516129032,15.061475409836063,46.46516393442623,0.3998971904924755,0.17881347397524458,0.3200872917077835,0.524586726923158,-0.10563091296089995,0.14885890281427094,,,,,,
20252026,8478440,0.011702870330847,-0.5820598892208982,0.7025742215689899,,,0.1274816559231583,0.0424494703477849,0.0017356538889603,0.0,0.0017356538889603,,,,-0.0001293491838848,0.0001293491838848,0.001797159616023,0.0028138663805681,-0.0007058211791848,0.0,0.0,0.0,,,0.0010006586244835,0.0318665727038246,0.0015944878151834,Dylan Strome,C,F,0.4971884017530287,-0.006229370287589717,,-0.4390896706484764,-0.004861822483801446,,0.0013030956149115878,-0.023441939500061845,-0.0015985631228706853,0.27519778323422023,1.0456172369005305,,,,,-0.024255473484560093,-0.024255473484560093,0.01056927463087532,0.009781380087678301,0.031693057415400676,0.055639225037586344,0.24547951573271948,-0.22197574656613894,0.25941552262534595,,-0.024255473484560093,0.026920734292885162,74.02663934426229,28.07377049180328,80.22540983606558,,26.946721311475407,55.68647540983606,0.3998971904924755,0.17881347397524458,0.3200872917077835,0.524586726923158,-0.10563091296089995,0.14885890281427094,,,,,,
20202021,8478443,0.0014774455630088,0.1556943963963341,0.1247586629724555,1.050850889430743,0.0,0.2664061584486991,-0.0259020625789015,-0.1009630065937403,-0.0073328212167661,-0.098444176805349,-0.0469535644222288,0.0172512213647741,-0.011884354329829,-0.0672925113136858,0.0672925113136858,-0.0678685991361049,-0.0669871090885809,-0.0016183181315378,-0.008951139348304,-0.0284096350819387,0.0155113784705055,1.2616250385528425,0.0,-0.0544978899584547,0.0025188297883912,-0.0549424271991245,Brandon Carlo,D,D,0.10071292650322748,0.04910238533723485,0.04997183513876156,0.1164780574855855,-0.05916971098408954,-0.0944965510640966,-0.1940188974522543,-0.05293878720095332,0.20373691195170957,0.036792756945491355,-0.5965083335097775,0.10227326999852841,0.06205021446616795,0.34644100347413664,1.248283427433412,-7.5759661795958815,-7.5759661795958815,-0.15160651941901185,-0.5891829560384776,-1.1888686170903198,-1.270217238333627,0.06659571565974129,-0.012396068187533547,-0.12058726985315685,0.43976197884306123,-7.5759661795958815,-0.7999688327203591,59.83531564501372,46.20311070448307,34.3092406221409,84.23153692614771,0.18298261665141813,10.430009149130832,0.4998756395696439,-0.29718811361398423,-0.15341506542601357,0.01561086297068659,2.4127246022434323,1.421736687959202,,,,,,
20212022,8478443,-0.0295259909797765,0.205362667285299,-0.0139441435392781,1.5356366435921645,0.0,0.1799292820033554,-0.0106623984613976,0.0183770498297454,-0.0110336910952457,-0.0372939287376849,-0.0064395740589195,-0.0449161100519641,-0.0606955726961586,0.0,0.0,-0.0036968736588048,7.368170940473407e-05,0.0130126781159565,0.0019789870207108,0.0031408366330022,-0.0498831671307944,0.1959338600037999,0.0,-0.0264415600901638,-0.0556709785674303,-0.0175780389328526,Brandon Carlo,D,D,0.005190022265388999,-0.11315230595003223,-0.09031979409187373,0.1499679345575512,0.01558519079974572,-0.005967794263489039,0.040117351595394674,0.4232142494624957,0.3052202965615744,-0.6727500844797517,-0.244993274483703,0.10227326999852841,0.06205021446616795,0.4978090408369046,0.19992365593405234,0.010947205923457137,0.010947205923457137,0.01178113916965089,-0.22328246769315463,-0.06523474388132593,0.0008028986292916256,-0.06609402592550566,0.05319511036460262,-0.029838292268797993,0.21551404530891333,0.010947205923457137,-0.06898329344388451,44.00731930466606,54.98627630375115,45.196706312900275,70.45908183632734,43.41262580054895,42.451967063129004,0.4998756395696439,-0.29718811361398423,-0.15341506542601357,0.01561086297068659,2.4127246022434323,1.421736687959202,,,,,,
20222023,8478443,0.0402683953374216,-0.4988628076712262,-2.183708540879963,1.8094909807625024,0.3317631664442362,-2.1833184015994616,0.0082213423397835,0.2276702588907896,-0.0147847792964687,0.0013041378803462,0.6006354501370407,-0.8505181556972219,-0.0665112789726495,-0.0001971805172641,0.0001971805172641,-0.0017146085107331,-0.0008602673108134,0.006082301617041,-0.0087024776794277,0.5198188377434845,-0.9013954301949686,0.2209802567018027,0.4970190405476725,-0.0036234375716597,-0.1893046182500719,-0.003074715076889,Brandon Carlo,D,D,-1.4890998335661303,-2.225895167000716,-1.9083039494271314,-0.32487091457340544,1.239789176586485,1.3205763623308449,-0.18869227006781053,0.19767117916441118,0.4080807426539479,0.9245601722298374,0.19057533196190218,0.2849358924523956,0.8681241537774907,0.5833164906431813,0.22456272140417363,-0.011283967747874938,-0.011283967747874938,0.29832304648738417,0.007674100285039341,-0.030525683941167447,-0.016898473476056313,-1.874432983331326,0.7451648747813081,0.3064390311884576,0.49023481456931034,-0.011283967747874938,0.06464324733879993,2.6532479414455628,87.37419945105215,83.07410795974383,86.02794411177645,26.07502287282708,59.28636779505947,0.4998756395696439,-0.29718811361398423,-0.15341506542601357,0.01561086297068659,2.4127246022434323,1.421736687959202,,,,,,
20232024,8478443,0.0443606517615651,1.476363241827022,0.1164093888525899,,,1.323576172149641,0.0059341824119505,-0.3256117613147336,0.0265478185580411,0.0039360280487115,0.1079302780354329,-0.0097102380040229,0.0831498083511881,-0.0012815759908245,0.0012815759908245,0.003521348109857,0.0016697879272436,0.00394130745893,0.0304891260169711,0.086749422127252,-0.0182388686352165,,,0.0020214517179284,0.0533923951502977,0.0006201071122436,Brandon Carlo,D,D,0.09496288486913901,-0.03463756383826715,-0.010871488437866972,1.0069668241496017,0.21368529064542385,0.2439463892219251,0.6508382873875737,0.12799438801371654,-0.7253208798633282,1.0182153142016126,0.13782015633366326,,,,,-0.13354444477481492,-0.13354444477481492,-0.4591715997343125,0.023422358522855905,0.061154852522341964,0.031054303652476335,0.01648461086433496,0.48819950133898354,0.24190945321464757,,-0.13354444477481492,-0.08588502125915956,53.5224153705398,80.23787740164684,78.68252516010979,,8.417200365965233,40.896614821591946,0.4998756395696439,-0.29718811361398423,-0.15341506542601357,0.01561086297068659,2.4127246022434323,1.421736687959202,,,,,,
20242025,8478443,0.0045572566306727,1.5925224807307474,0.4173069933727515,4.292250459024484,-0.0390437526888281,2.0241867206506683,-0.0073593580665475,0.2497637004091638,-0.0401790882708998,0.2934398380731944,0.1961946797271063,-0.2447517798437238,-0.047794827905507,7.589382247959649e-05,-7.589382247959649e-05,0.0357674573732247,0.034101129131016,-0.0023241356020167,-0.0425032238729166,0.2198172284169891,-0.1771926308992277,0.0849113201618747,-0.0013984111566168,0.0226805875972153,0.0436761376640309,0.0211718699782958,Brandon Carlo,D,D,0.3021873368094312,-0.42902815693666335,-0.5412844897701714,1.0852896359172077,0.5289728362534674,0.4368164985703696,-0.9127442765651905,-0.07590900236700526,1.1044306574509157,0.10727713350766567,-0.16880600221779604,0.08077650671097308,0.059782247451164054,1.3585257995850242,0.09070668309729824,0.01950387659019111,0.01950387659019111,0.3285710268221942,1.7557061809625698,0.6257776732120418,0.6457337198687869,-0.22270843663246787,0.6836929902470149,0.010849701961717912,0.3974478092111149,0.01950387659019111,0.8389471502163981,31.381518755718208,85.9103385178408,54.89478499542544,82.03592814371258,56.907593778591036,90.8508691674291,0.4998756395696439,-0.29718811361398423,-0.15341506542601357,0.01561086297068659,2.4127246022434323,1.421736687959202,,,,,,
20252026,8478443,-0.0989271662024211,-3.818385858873203,-0.5250136091464934,,,-4.3389856645066285,0.0075095420664352,0.2674865957287362,0.0,0.2674865957287362,,,,-0.0020846616498187,0.0020846616498187,0.2643854327646934,0.2242291055624794,-0.0214528162899686,0.0,0.0,0.0,,,0.1571565899473026,0.0033687479938269,0.1348396032973812,Brandon Carlo,D,D,-0.34677718625646214,0.010616088016410551,,-2.5631292016564395,0.008143370717291492,,-0.0022748936815438383,-0.6984352639326615,0.0026599921324781325,-2.261061335000966,0.1741570885431762,,,,,-0.22408856650537884,-0.22408856650537884,0.3528353221179943,1.6004115689525922,4.628831966417596,4.249277366891513,-0.1680805491200258,-1.277492915469574,-0.5569908823879034,,-0.22408856650537884,2.7078390560949237,34.400731930466605,6.495882891125343,8.325709057639525,,6.312900274473924,99.63403476669717,0.4998756395696439,-0.29718811361398423,-0.15341506542601357,0.01561086297068659,2.4127246022434323,1.421736687959202,,,,,,
20202021,8478444,0.0424602932227793,-0.0024114151524481,-0.0736755071384445,0.0,4.170268354547563,-0.100196213703692,-0.0173434837138562,0.139843706531947,-0.0438697028780306,-0.0700972846806179,-0.1358365044824334,-0.1033962352913399,-0.2086509705231642,0.0007552851496694,-0.0007552851496694,-0.0425175297532502,-0.0435188421422711,-0.0723662091375128,-0.1162359120155435,-0.1290739646636492,-0.107328025374509,0.0,-0.8242931394491104,-0.0298704019422651,-0.2099409912125651,-0.0322029620383345,Brock Boeser,R,F,-0.06170561121900206,-0.2852961643681682,-0.2536377476198101,-0.00887639449073511,-0.3309439618526999,-0.3178188723717529,-2.5458710107897695,-2.4193354105188125,1.2895163863708718,1.0030055204718151,-0.42800055684137955,1.6129299904914542,-0.9659763574352838,-0.013784020353393522,-0.004775100987171307,0.09253924624078838,0.09253924624078838,0.2130985315678527,-0.392233135659239,-0.7428642895602547,-0.8548336297991194,-0.20021317440232678,-0.219213076238396,-0.620137014261455,0.15709862792890142,0.09253924624078838,-0.44420813086269006,34.32377049180328,28.38114754098361,5.993852459016393,69.25403225806451,84.88729508196722,19.672131147540984,-0.3676387601927743,-1.1614414769603338,0.12555290017218534,0.09717532019365369,-0.0277948060189524,0.8273795874238561,,,,,,
20212022,8478444,-0.0179885083547745,0.203110309469031,0.128350556788461,0.0,-1.5244185764057754,0.2871706261502258,0.0285385759820565,0.0032097821806096,-0.0127363455004963,-0.0083575124837132,0.0181133483218192,-0.0119930537309306,-0.0298843362874739,0.0,0.0,-0.008873768935346,-0.0080602404880182,-0.0061091664662735,-0.0188455119667699,0.0319548757131128,-0.0091028435241208,0.0,0.1908963025071894,-0.0060627298106551,-0.0115672946643231,-0.0050343458048006,Brock Boeser,R,F,0.08375164746637652,-0.02989794473894529,-0.03522138106827967,0.1436611837597589,0.07586641936537461,0.03694341015583028,-0.4116742645771497,-0.20409739035422172,0.37324067668978667,-0.42738432881636257,0.7027784896617087,-0.6402856871575592,0.19645916139515604,-0.013784020353393522,-0.004775100987171307,-0.007178020004056918,-0.007178020004056918,0.012731017569277903,-0.04670523277353954,-0.15481950142577855,-0.1580452203593586,0.006210773886383854,0.08549033776032126,0.006572636520752284,-0.115596411775742,-0.007178020004056918,-0.0867097342473497,54.45696721311475,58.04303278688525,53.68852459016394,40.524193548387096,42.08504098360656,39.49795081967213,-0.3676387601927743,-1.1614414769603338,0.12555290017218534,0.09717532019365369,-0.0277948060189524,0.8273795874238561,,,,,,
