season,player_id,blocked_shot_to_xg_swing_rapm_5v5_w10,corsi_def_rapm_5v5,corsi_off_rapm_5v5,corsi_pk_def_rapm,corsi_pp_off_rapm,corsi_rapm_5v5,faceoff_loss_to_xg_swing_rapm_5v5_w10,finishing_residual_rapm_5v5,giveaway_to_xg_swing_rapm_5v5_w10,goals_rapm_5v5,hd_xg_def_rapm_5v5_ge020,hd_xg_off_rapm_5v5_ge020,hd_xg_rapm_5v5_ge020,penalties_drawn_rapm_5v5,penalties_taken_rapm_5v5,primary_assist_rapm_5v5,secondary_assist_rapm_5v5,takeaway_to_xg_swing_rapm_5v5_w10,turnover_to_xg_swing_rapm_5v5_w10,xg_def_rapm_5v5,xg_off_rapm_5v5,xg_pk_def_rapm,xg_pp_off_rapm,xg_primary_assist_on_goals_rapm_5v5,xg_rapm_5v5,xg_secondary_assist_on_goals_rapm_5v5,full_name,position,position_group
20202021,8465009,-0.003404527008151782,0.029466992503408822,0.14088861585714624,4.470277392751532,-0.0529268274466326,0.16913623525263186,0.0256214229814142,0.021502091376696418,-0.006555599086488848,-0.036633646341979145,0.01916904632157861,-0.07733933957169593,-0.05662356230815688,0.0014343403556238718,-0.0014343403556238718,-0.03647681476587708,-0.03446519082040171,-0.03562668696465145,-0.04218228605114033,0.008798484021441167,-0.06827253690767067,1.3369078471451359,-0.018008213312590633,-0.0213324772792514,-0.058135737718675584,-0.02067400316320988,Zdeno Chara,D,D
20202021,8466138,0.04224128204379169,0.8557814467307108,0.42572040884373274,0.0,1.245890013071877,1.2957475710220354,0.041011371552958295,-0.1899046485091273,0.1076077935596381,0.10392225962133358,0.1887874228244733,0.10838564239895761,0.2791028874165168,0.0024054894260718083,-0.0024054894260718083,0.13617123134847936,0.082564964321315,-0.0691723255242419,0.03843546803539614,0.21817471480489142,0.09128748734040132,0.0,0.31943919527122455,0.09972457396731005,0.2938269081304611,0.05985210500829478,Joe Thornton,C,F
20202021,8469455,-0.0799640691544013,0.08128900133547594,-0.011553581499897764,-10.637183916436097,5.003688883821191,0.08002257820581721,-0.0395182480508688,-0.1520271814165129,0.0025047981148428318,0.10933533554971549,0.12099517741557297,0.12803171552605713,0.2359780024480626,0.0005126541122566361,-0.0005126541122566361,0.1109599922320802,0.14427626559643283,-0.0913650816559307,-0.08886028354108791,0.13610146787623442,0.1365516540643521,-3.7632358258996135,3.8899603547259023,0.08503888372778268,0.2613625169662283,0.1042727061338759,Jason Spezza,C,F
20202021,8470595,0.01241158504504223,0.18862641331531155,0.010790262374528698,0.13671353713344456,-0.9606958108534078,0.20954716757907124,-0.0046073718119999585,-0.05211508037365662,0.003326990745985858,-0.04002986861160021,0.1026365305303877,-0.0782638728224569,0.0115224930122078,0.0008659932331004684,-0.0008659932331004684,-0.037961187205806594,-0.03683236042226236,-0.0020724124335200207,0.00125457831246586,0.08839266159296512,-0.06518879315229156,0.047704901171251604,-0.4423080195306104,-0.018263881105406325,0.012085211762056382,-0.01713079293757589,Eric Staal,C,F
20202021,8470601,-0.022653268028526016,-0.3196146448517583,0.4480516287084211,-4.083257165676587,0.7529253968886579,0.12500272260349204,0.046597617280071085,-0.21651827357164105,-0.04321267071984999,-0.02234349343804652,-0.024957346878818364,0.2189859983773233,0.19838488841117607,0.00028669449518486397,-0.00028669449518486397,-0.02267969122570157,0.07407057595124598,0.022150421668470817,-0.021062249051379177,-0.0301494988238463,0.22055502745058447,-0.8198057693305596,0.5354048046645481,0.008303089098461702,0.19417478013359485,0.04190624609788917,Braydon Coburn,D,D
20202021,8470621,0.03796812414710858,0.05190727998683698,-0.14808470860473677,,,-0.09623856879142478,0.009582913415488645,0.028937517316337938,-0.0054592514611607225,0.00323193512841666,-0.01517957230780645,-0.007655327834521386,-0.022757346030650865,-0.00028589835251136974,0.00028589835251136974,0.003355114747352983,0.0043328117117739885,-0.0031392910157925953,-0.008598542476953323,-0.008537569896484569,-0.017235116298441277,,,0.0020833761486746373,-0.025705582187921294,0.0027575021054786074,Corey Perry,R,F
20202021,8470638,0.005747725294820239,0.1372035510517159,0.006143124868070157,0.6715886456275277,1.0284219417314773,0.1276794695946038,0.04094034073579714,-0.037282391685241015,-0.006710665117711905,-0.024376958467955016,0.03425861745986892,-0.030246036189610016,0.023885869142334468,0.0027296788971161693,-0.0027296788971161693,0.005159766356554717,0.007413889676658375,0.0034639986530532693,-0.0032466664646587,0.0372904537101445,-0.041580462742596705,0.7045792151846303,0.7231331183115245,-0.01077165207827776,0.012905433217286008,-0.010311641604575875,Patrice Bergeron,C,F
20202021,8470642,-0.010563267092561114,0.3322415609903852,0.6504227499923427,3.2190402355920513,1.2818114211119542,0.9774977796681616,-0.03877488642089072,-0.3479029116787043,0.042738658429154024,0.011113689283583479,0.18648842534000037,0.1446414990218014,0.3376834835594916,-0.000647724658698682,0.000647724658698682,-0.020490238586524316,-0.05466430294715062,0.005898076468688363,0.04863673489784238,0.1968374849295209,0.1565086225824869,-1.0828314703105104,0.19735693790881326,-0.017627047144129864,0.3590166009622873,-0.024719717636303568,Shea Weber,D,D
20202021,8470966,-0.027041321940767544,-0.0681677659834277,-0.1599760682885292,9.261254521159303,-2.767644163340438,-0.20773718774740516,-0.011789209650232056,0.1224299656189618,0.05466983173564482,-0.07076998742404378,-0.11410689805856356,-0.06139629858212486,-0.20138829398789967,-0.0012298208752870186,0.0012298208752870186,-0.06850587570935794,-0.07411833864726192,-0.020561471508506873,0.034108360227137986,-0.10605657484250329,-0.06474619362651639,4.312610408322479,-1.9497427611297786,-0.04296718126541447,-0.19319995304300575,-0.04548145874904686,Mark Giordano,D,D
20202021,8471214,-0.03771885491008453,-0.23422871389102176,0.045974618186784263,0.0,-0.13733104947613112,-0.1866445189661594,0.025672522713291908,0.0991294977613675,-0.0010945280119028574,0.032910559853594805,-0.026441397375598336,-0.03371322758620238,-0.06219631517791713,0.0008564450922285573,-0.0008564450922285573,0.0335292401135248,-0.03377746215410205,-0.018939412460219553,-0.02003394047212239,-0.04093510686776019,-0.023517250370066203,0.0,-0.3733988079665174,-0.0035865951799204966,-0.06621893790777268,-0.027811783734625346,Alex Ovechkin,L,F
